"transmission","n","mean_price","median_price","sd_price","min_price","max_price","Q1","Q3"
"Automatic",2680,28157.1343283582,26485,13241.4453920273,1490,135000,19100,33500
"Manual",4317,16024.3053046097,15697,5464.58159464595,1699,47995,11991,19200
